currency,majorCurrency,name,currencyType,scale,enabled,isMarginCurrency,memoRequired,asset,networks,assetID,maxWithdrawalAmount,minDepositAmount,minWithdrawalAmount
LOt,LOT,League of Traders,Crypto,5,true,false,false,LOT,"[{""asset"":""bsc"",""depositEnabled"":true,""maxFee"":2000000,""minFee"":2000000,""tokenAddress"":""0xbfe78De7D1c51E0868501D5FA3E88e674C79AcDD"",""withdrawalEnabled"":true,""withdrawalFee"":2000000}]",1013110122,20000000000000,20000000,20000000
AVAx,AVAX,Avalanche (C-Chain),Crypto,8,true,false,false,AVAX,"[{""asset"":""avax"",""depositEnabled"":true,""maxFee"":500000,""minFee"":500000,""withdrawalEnabled"":true,""withdrawalFee"":500000}]",3136527396,700000000000000,7000000,7000000
USDe,USDE,Ethena USDe,Crypto,6,true,false,false,USDE,"[{""asset"":""eth"",""depositEnabled"":false,""maxFee"":0,""minFee"":0,""tokenAddress"":""0x4c9EDD5852cd905f086C759E8383e09bff1E68B3"",""withdrawalEnabled"":true,""withdrawalFee"":1}]",1393629317,100000000000000,1000000,1000000
GOAt,GOAT,Goatseus Maximus,Crypto,8,true,false,false,GOAT,"[{""asset"":""sol"",""depositEnabled"":false,""maxFee"":0,""minFee"":0,""tokenAddress"":""CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump"",""withdrawalEnabled"":true,""withdrawalFee"":1}]",716000683,3000000000000000,3000000000,1000000000
LTc,LTC,Litecoin,Crypto,8,true,false,false,LTC,"[{""asset"":""ltc"",""depositEnabled"":true,""maxFee"":20000,""minFee"":20000,""withdrawalEnabled"":true,""withdrawalFee"":20000}]",2046279107,80000000000000,800000,20000
USDc,USDC,USD Coin,Crypto,6,true,false,false,USDC,"[{""asset"":""base"",""depositEnabled"":true,""maxFee"":100000,""minFee"":100000,""tokenAddress"":""0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913"",""withdrawalEnabled"":true,""withdrawalFee"":100000},{""asset"":""optimism"",""depositEnabled"":true,""maxFee"":100000,""minFee"":100000,""tokenAddress"":""0x0b2C639c533813f4Aa9D7837CAf62653d097Ff85"",""withdrawalEnabled"":true,""withdrawalFee"":100000},{""asset"":""arbitrum"",""depositEnabled"":true,""maxFee"":50000,""minFee"":50000,""tokenAddress"":""0xaf88d065e77c8cC2239327C5EDb3A432268e5831"",""withdrawalEnabled"":true,""withdrawalFee"":50000},{""asset"":""sol"",""depositEnabled"":true,""maxFee"":1000000,""minFee"":1000000,""tokenAddress"":""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"",""withdrawalEnabled"":true,""withdrawalFee"":1000000},{""asset"":""eth"",""depositEnabled"":true,""maxFee"":1000000,""minFee"":1000000,""tokenAddress"":""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"",""withdrawalEnabled"":true,""withdrawalFee"":1000000},{""asset"":""avax"",""depositEnabled"":true,""maxFee"":70000,""minFee"":70000,""tokenAddress"":""0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E"",""withdrawalEnabled"":true,""withdrawalFee"":70000}]",11441541,100000000000000,1000000,1000000
TRUMp,TRUMP,MAGA (Taxless),Crypto,8,true,false,false,TRUMP,"[{""asset"":""eth"",""depositEnabled"":false,""maxFee"":0,""minFee"":0,""tokenAddress"":""0x6aA56e1D98b3805921C170EB4B3fe7D4Fda6D89b"",""withdrawalEnabled"":true,""withdrawalFee"":1}]",2578440940,100000000000000,100000000,100000000
FTm,FTM,Fantom,Crypto,8,true,false,false,FTM,"[{""asset"":""eth"",""depositEnabled"":false,""maxFee"":0,""minFee"":0,""tokenAddress"":""0x4E15361FD6b4BB609Fa63C81A2be19d873717870"",""withdrawalEnabled"":true,""withdrawalFee"":1}]",3030457849,10000000000000000,4000000000,0
CRo,CRO,Cronos,Crypto,6,true,false,false,CRO,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":50000000,""minFee"":50000000,""tokenAddress"":""0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b"",""withdrawalEnabled"":true,""withdrawalFee"":50000000}]",178432892,100000000000000,90000000,90000000
FTr,FTR,Fautor,Crypto,5,true,false,false,FTR,"[{""asset"":""avax"",""depositEnabled"":true,""maxFee"":2500000,""minFee"":2500000,""tokenAddress"":""0x61f23250451305f6C4426E81C50aE535Edf94A02"",""withdrawalEnabled"":true,""withdrawalFee"":2500000},{""asset"":""eth"",""depositEnabled"":true,""maxFee"":400000000,""minFee"":400000000,""tokenAddress"":""0xD6C7bB8531295e88D364EA67D5D1acC7D3F87454"",""withdrawalEnabled"":true,""withdrawalFee"":400000000}]",774811236,10000000000000,10000000,10000000
FTt,FTT,FTX Token,Crypto,8,true,false,false,FTT,"[{""asset"":""eth"",""depositEnabled"":false,""maxFee"":0,""minFee"":0,""tokenAddress"":""0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9"",""withdrawalEnabled"":true,""withdrawalFee"":1}]",1761490422,100000000000000,37000000,37000000
KAMa,KAMA,Kamala Harris,Crypto,5,true,false,false,KAMA,"[{""asset"":""sol"",""depositEnabled"":false,""maxFee"":0,""minFee"":0,""tokenAddress"":""HnKkzR1YtFbUUxM6g3iVRS2RY68KHhGV7bNdfF1GCsJB"",""withdrawalEnabled"":true,""withdrawalFee"":1}]",3384461636,20000000000000,200000000,200000000
